,Description,num1,div,num2,unit
0,Milk 2%,bag,/,4,l
1,2% Milk,,,4 4,l
2,10% Half & Half Milk,,,16 1,l
3,2% Lactose Free Milk,,,9 2,l
4,Chocolate Milk,,,9 2,l
5,Skim Milk,,,9 2,l
6,Homo Milk,,,4 4,l
7,"Bun, hamburger",,,"pallet, 12 bags (12",buns each)
8,"Muffins, english",,,"bag, 8",buns
9,"Bread, white",,,"loaf, 675",g
10,"Bread, whole wheat",,,"loaf, 675",g
11,Argiment,,,1,box
12,Vivonex +,,,6,per box
13,"Eggs, medium",,,,dozen
14,2% milk,,,4,litre bag
15,hot dog bun,,,1,doz
16,texas sndw wh,,,1,loaf
17,Bread 100% WW Demp,,,,loaf
18,dinner roll,,,1,doz
19,plain hamburger bun,,,1,doz
20,wh french loaf slice,,,,loaf
21,2% Milk,,,4,litre
22,Homogenized Milk,,,2,litre
23,Creamers 10%,,,1 bag 160x9,ml
24,Buttermilk,,,1,litre
25,Skim Milk,,,1,litre
26,Chocolate Milk,,,1,litre
27,2% Lactose Free,,,1,litre
28,Banana (yellow),40,/,1,lb
29,Pork Butt Roast 2/3.4kg,,,,kg
30,Banana (green),40,/,1,lb
31,Romaine Lettuce,24,/,1,each
32,Spinach Baby,,,4,lb
33,PEI Vegetables,6,/,2,kg
34,Tomato Medium,,,25,lb
35,Red Cabbage,,,1,each
36,English Cucumber,12,/,1,each
37,Button Mushrooms,5,/,1,lb
38,Navel Oranges,88,/,1,each
39,Iceberg Lettuce,24,/,1,each
40,Success Pear Slices,6,/,2.84,lt
41,Watermelon seedless,,,1,each
42,Broccoli,,,10,lb
43,Potato LG Russet,,,50,lb
44,Bread/wheat,,,,loaf
45,Hamburger Buns,bag,/,,8
46,12 Grain Bread,,,,loaf
47,Dinner Rolls white,bag,/,2,dozen
48,Hot Dog Bun,bag,/,,8
49,Bread/white,,,,loaf
50,bananas,,,,case
51,Lean Ground Beef,,,5,pound package
52,Beef Roasts,,,,pound
53,Burgers,,,,case
54,french loaf,,,1,loaf
55,10 incn sub bun,,,,12
56,cheese loaf,,,1,loaf
57,ne hot dog,,,,12
58,sourdough oval,,,1,loaf
59,Canteloupes #15,case,/,17,kg
60,Bananas Premium Green,case,/,18.20kg/40,lb
61,Grapes Red Seedless,,,1,lb
62,Bananas Premium Yellow,case,/,18.20kg/40,lb
63,Potatoes Foiled #100,,,,each
64,Strawberries,8,x,1lb/3.64,kg/flat
65,Fresh Dillweed,,,,bunch
66,Watermelon Seedless,,,,each
67,AJ BRAND FRUIT SALAD DELUXE,,,pail 11,l
68,Oranges #113,,,,case
69,Lemons #113,,,,case
70,Mushroom White #1,,,5,lb
71,Romaine Chopped (KOSHER),case,/,2lb/9.08,g
72,Pears Bartlett #110,,,,each
73,Tomatoes Roma,,,25,lb
74,Apples Ida Reds,,,,each
75,Carrots Large,50lbs,/,23,kg
76,Apples Granny Smith #110,,,,each
77,Plums Red,,,1,lb
78,Cucumbers English Medium #12,,,,case
79,Pure Gold Potato Yukon Gold,,,50,lbs
