Fe,5
GRIS,5
Minit,7
Ashen,8
NHL 19,8
Celeste,9
Below,10
Deracine,11
God Eater 3,11
Fallout 76,12
FIFA 19,12
Hitman 2,12
Beat Saber,13
Dead Cells,13
Florence,13
Dragalia Lost,14
Mega Man 11,14
Subnautica,14
Iconoclasts,15
Tanglewood,15
God of War,16
Payday 2,16
Soul Calibur 6,16
Sunless Skies,16
Vampyr,16
BattleTech,17
Donut County,17
Moonlighter,17
Frostpunk,18
Gundemoniums,18
Planet Alpha,18
The Messenger,18
Bring to Light,19
Just Cause 4,19
Mario Tennis Aces,19
A Case of Distrust,21
Overcooked 2,21
Sea of Thieves,21
Lumines Remastered ,22
Into the Breach,23
Super Mario Party,24
Prey: Mooncrash,25
Dynasty Warriors 9,26
Marvel's Spider-Man,26
Octopath Traveler,26
Red Dead Redemption 2,26
Two Point Hospital,26
Monster Hunter: World,27
The Gardens Between,27
Return of the Obra Dinn,28
Detroit: Become Human,30
Pokemon Let's Go Eevee,30
Assassin's Creed Odyssey,31
Spyro Reignited Trilogy,32
Super Smash Bros. Ultimate,33
Shadow of the Colossus,34
Yoku's Island Express,35
Valkyria Chronicles 4,36
Warhammer: Vermintide 2,36
Captain Toad: Treasure Tracker,37
Call of Duty: Black Ops 4,38
Dragon Ball Fighter Z,38
Jurassic World Evolution,38
Pillars of Eternity 2: Deadfire,39
Shadow of the Tomb Raider,39
Kingdom Come: Deliverance,40
Ni no Kuni II: Revenant Kingdom,40
Pokemon Let's Go Pikachu,40
Age of Empires: Definitive Edition,45
Omensight: The Definitive Edition,46
Valthirian Arc: Hero School Story,47
Dragon Quest 11: Echoes of an Elusive Age,56
Call of Cthulhu: The Official Video Game,64
Xenoblade Chronicles 2: Torna – The Golden Country,68
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,82
