"51","52","54","56","58","60"
"53","54","56","58","61","63"
"55","57","59","61","64","66"
"57","60","62","64","67","70"
"60","62","65","68","71","74"
"63","66","69","72","75","79"
"66","69","73","76","80","84"
"70","73","77","81","85","90"
"74","78","82","86","91","97"
"79","83","88","93","99","105"
"84","89","94","100","107","115"
"90","96","102","109","117","126"
"97","103","111","119","129","140"
"105","113","121","131","143","158"
"115","124","134","147","162","180"
"126","137","150","166","185","210"
"140","154","170","191","217","252"
"158","175","197","225","262","315"
"180","203","233","274","332","420"
"210","242","286","350","450","630"
"252","300","371","484","700","1259"
"315","394","525","787","1574","0"
