"20","21","22","22","23","24"
"21","22","23","23","24","25"
"22","23","24","25","26","27"
"23","24","25","26","27","28"
"24","25","26","27","28","30"
"25","26","28","29","30","32"
"27","28","29","30","32","34"
"28","29","31","32","34","36"
"30","31","33","35","37","39"
"32","33","35","37","40","42"
"34","36","38","40","43","46"
"36","38","41","44","47","51"
"39","41","44","48","52","56"
"42","45","49","53","57","63"
"46","50","54","59","65","72"
"51","55","60","66","74","84"
"56","62","68","76","87","101"
"63","70","79","90","105","126"
"72","81","93","110","133","168"
"84","97","115","140","180","252"
"101","120","148","194","280","504"
"126","158","210","315","630","0"
